"anno","territorio_lbl","cittadinanza_lbl","classe5_lbl","sesso_lbl","popolazione","quota"
2024,"Provincia di Parma","Totale","100+","Femmine",176,0.000386207986166732
2024,"Provincia di Parma","Totale","0-4","Femmine",7924,0.017388136831734
2024,"Provincia di Parma","Totale","10-14","Femmine",10126,0.0222201253859337
2024,"Provincia di Parma","Totale","15-19","Femmine",10507,0.0230561779014424
2024,"Provincia di Parma","Totale","20-24","Femmine",10321,0.022648026279698
2024,"Provincia di Parma","Totale","25-29","Femmine",11661,0.0255884734471038
2024,"Provincia di Parma","Totale","30-34","Femmine",12964,0.0284477291628722
2024,"Provincia di Parma","Totale","35-39","Femmine",13587,0.0298148176593602
2024,"Provincia di Parma","Totale","40-44","Femmine",14268,0.0313091792421985
2024,"Provincia di Parma","Totale","45-49","Femmine",16479,0.0361609170684181
2024,"Provincia di Parma","Totale","5-9","Femmine",9142,0.0200608716450924
2024,"Provincia di Parma","Totale","50-54","Femmine",18435,0.0404530921874074
2024,"Provincia di Parma","Totale","55-59","Femmine",18558,0.0407229989050126
2024,"Provincia di Parma","Totale","60-64","Femmine",16574,0.0363693816064058
2024,"Provincia di Parma","Totale","65-69","Femmine",13955,0.0306223434486179
2024,"Provincia di Parma","Totale","70-74","Femmine",12166,0.0266966270437754
2024,"Provincia di Parma","Totale","75-79","Femmine",11796,0.0258847125274021
2024,"Provincia di Parma","Totale","80-84","Femmine",9684,0.0212502166934013
2024,"Provincia di Parma","Totale","85-89","Femmine",7489,0.016433588684106
2024,"Provincia di Parma","Totale","90-94","Femmine",3708,0.00813670007219456
2024,"Provincia di Parma","Totale","95-99","Femmine",1092,0.00239624500507995
2024,"Provincia di Parma","Totale","100+","Maschi",37,8.11914516373244e-05
2024,"Provincia di Parma","Totale","0-4","Maschi",8465,0.0185752875164852
2024,"Provincia di Parma","Totale","10-14","Maschi",10815,0.0237320418772341
2024,"Provincia di Parma","Totale","15-19","Maschi",11494,0.0252220147329569
2024,"Provincia di Parma","Totale","20-24","Maschi",11633,0.0255270312674863
2024,"Provincia di Parma","Totale","25-29","Maschi",13157,0.028871241329521
2024,"Provincia di Parma","Totale","30-34","Maschi",13842,0.0303743803665904
